,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10
P01,0,2362,546,1225,812,2057,1015,1791,639,2150
P02,2362,0,1915,792,2682,359,2383,590,1724,213
P03,546,1915,0,777,866,1609,469,1343,191,1702
P04,1225,792,777,0,1545,548,1246,202,586,579
P05,812,2682,866,1545,0,2377,1335,2111,959,2470
P06,2057,359,1609,548,2377,0,2078,483,1418,376
P07,1015,2383,469,1246,1335,2078,0,1812,660,2171
P08,1791,590,1343,202,2111,483,1812,0,1152,377
P09,639,1724,191,586,959,1418,660,1152,0,1511
P10,2150,213,1702,579,2470,376,2171,377,1511,0
